Accession_ID,Species_Name,Family,In_Species_Folder,In_Genus_Folder,In_Family_Folder
GCA_013387255.1,Mycosarcoma maydis,Ustilaginaceae,Yes,No,No
GCA_016617935.1,Mycosarcoma maydis,Ustilaginaceae,Yes,No,No
GCA_016617945.1,Mycosarcoma maydis,Ustilaginaceae,Yes,No,No
GCA_018153955.1,Mycosarcoma maydis,Ustilaginaceae,Yes,No,No
GCA_018153985.1,Mycosarcoma maydis,Ustilaginaceae,Yes,No,No
GCA_018154035.1,Mycosarcoma maydis,Ustilaginaceae,Yes,No,No
GCA_018154095.1,Mycosarcoma maydis,Ustilaginaceae,Yes,No,No
GCA_023212645.1,Farysia itapuensis,Ustilaginaceae,No,No,Yes
GCA_030142165.1,Pseudozyma hubeiensis,Ustilaginaceae,No,No,Yes
GCA_031214725.1,Moesziomyces antarcticus,Ustilaginaceae,No,No,Yes
GCA_040365765.1,Farysia acheniorum,Ustilaginaceae,No,No,Yes
GCA_043791915.1,Moesziomyces antarcticus,Ustilaginaceae,No,No,Yes
GCA_900080155.1,Ustilago bromivora,Ustilaginaceae,No,No,Yes
GCA_900101485.1,Ustilago bromivora,Ustilaginaceae,No,No,Yes
GCA_928724745.1,Anthracocystis setariae,Ustilaginaceae,No,No,Yes
GCA_928858565.1,Anthracocystis walkeri,Ustilaginaceae,No,No,Yes
