Accession_ID,Dataset,DatasetLevel,BioSample
GCA_015502505.1,Mortierellaceae,General,
GCA_015679495.1,Mortierellaceae,General,
GCA_016098165.1,Mortierellaceae,General,
GCA_000240685.2,Mortierellaceae,General,
GCA_015679595.1,Mortierellaceae,General,
GCA_015679545.1,Mortierellaceae,General,
GCA_015679515.1,Mortierellaceae,General,
GCA_020744185.1,Mortierellaceae,General,
GCA_015502575.1,Mortierellaceae,General,
GCA_015852425.1,Mortierellaceae,General,
GCA_022750515.1,Mortierellaceae,General,
GCA_015680625.1,Mortierellaceae,General,
GCA_015529785.1,Mortierellaceae,General,
GCA_015680635.1,Mortierellaceae,General,
GCA_015847235.1,Mortierellaceae,General,
GCA_015679405.1,Mortierellaceae,General,
GCA_015849285.1,Mortierellaceae,General,
GCA_015849305.1,Mortierellaceae,General,
GCA_015679485.1,Mortierellaceae,General,
GCA_000318465.3,PhytophthoraClade8,General,
GCA_000468175.2,PhytophthoraClade8,General,
GCA_020800235.1,PhytophthoraClade8,General,
GCA_000338795.2,PhytophthoraClade8,General,
GCA_001933405.1,PhytophthoraClade8,General,
GCA_001933415.1,PhytophthoraClade8,General,
GCA_001278165.1,PhytophthoraClade8,General,
GCA_035080225.1,PhytophthoraClade8,General,
GCA_001278225.1,PhytophthoraClade8,General,
GCA_001933485.1,PhytophthoraClade8,General,
GCA_024679025.1,PhytophthoraClade8,General,
GCA_000340395.2,PhytophthoraClade8,General,
GCA_000338815.2,PhytophthoraClade8,General,
GCA_001933325.1,PhytophthoraClade8,General,
GCA_000333055.2,PhytophthoraClade8,General,
GCA_000149735.1,PhytophthoraClade8,General,
GCA_020800225.1,PhytophthoraClade8,General,
GCA_001278235.1,PhytophthoraClade8,General,
GCA_001278135.1,PhytophthoraClade8,General,
GCA_012656075.1,PhytophthoraClade8,General,
GCA_024679135.1,PhytophthoraClade8,General,
GCA_020800205.1,PhytophthoraClade8,General,
GCA_000500205.2,PhytophthoraClade8,General,
GCA_001955675.1,PhytophthoraClade8,General,
GCA_012656105.1,PhytophthoraClade8,General,
GCA_024679005.1,PhytophthoraClade8,General,
GCA_001933395.1,PhytophthoraClade8,General,
GCA_002968915.1,PhytophthoraClade8,General,
GCA_004343245.1,PhytophthoraClade8,General,
GCA_001278155.1,PhytophthoraClade8,General,
GCA_024679045.1,PhytophthoraClade8,General,
GCA_001933335.1,PhytophthoraClade8,General,
GCA_001933315.1,PhytophthoraClade8,General,
GCA_001933345.1,PhytophthoraClade8,General,
GCA_000336535.2,PhytophthoraClade8,General,
GCA_001278145.1,PhytophthoraClade8,General,
GCA_020800215.1,PhytophthoraClade8,General,
GCA_003956735.1,PhytophthoraClade8,General,
GCA_001278215.1,PhytophthoraClade8,General,
GCA_001933455.1,PhytophthoraClade8,General,
GCA_001933465.1,PhytophthoraClade8,General,
GCA_016864855.1,PhytophthoraClade1,General,
GCA_017309695.1,PhytophthoraClade1,General,
GCA_030374175.1,PhytophthoraClade1,General,
GCA_000509505.1,PhytophthoraClade1,General,
GCA_003328465.1,PhytophthoraClade1,General,
GCA_016864715.1,PhytophthoraClade1,General,
GCA_016865075.1,PhytophthoraClade1,General,
GCA_000509465.1,PhytophthoraClade1,General,
GCA_012658955.1,PhytophthoraClade1,General,
GCA_011316315.1,PhytophthoraClade1,General,
GCA_016865085.1,PhytophthoraClade1,General,
GCA_000365505.1,PhytophthoraClade1,General,
GCA_018873755.1,PhytophthoraClade1,General,
GCA_030374205.1,PhytophthoraClade1,General,
GCA_016864665.1,PhytophthoraClade1,General,
GCA_016865095.1,PhytophthoraClade1,General,
GCA_012295175.1,PhytophthoraClade1,General,
GCA_016864635.1,PhytophthoraClade1,General,
GCA_016864755.1,PhytophthoraClade1,General,
GCA_000365545.1,PhytophthoraClade1,General,
GCA_016864815.1,PhytophthoraClade1,General,
GCA_001661535.1,PhytophthoraClade1,General,
GCA_002081965.1,PhytophthoraClade1,General,
GCA_000509525.1,PhytophthoraClade1,General,
GCA_016864735.1,PhytophthoraClade1,General,
GCA_016864695.1,PhytophthoraClade1,General,
GCA_001483015.1,PhytophthoraClade1,General,
GCA_030374195.1,PhytophthoraClade1,General,
GCA_016880175.1,PhytophthoraClade1,General,
GCA_000365525.1,PhytophthoraClade1,General,
GCA_016864835.1,PhytophthoraClade1,General,
GCA_000367145.1,PhytophthoraClade1,General,
GCA_016906365.1,PhytophthoraClade1,General,
GCA_016864775.1,PhytophthoraClade1,General,
GCA_000247585.2,PhytophthoraClade1,General,
GCA_003287315.1,PhytophthoraClade1,General,
GCA_011320135.1,PhytophthoraClade1,General,
GCA_030374185.1,PhytophthoraClade1,General,
GCA_030374165.1,PhytophthoraClade1,General,
GCA_016880985.1,PhytophthoraClade1,General,
GCA_012552325.1,PhytophthoraClade1,General,
GCA_033557935.1,PhytophthoraClade1,General,
GCA_001482985.1,PhytophthoraClade1,General,
GCA_016864655.1,PhytophthoraClade1,General,
GCA_016864795.1,PhytophthoraClade1,General,
GCA_026225685.1,PhytophthoraClade1,General,
GCA_010194725.1,PhytophthoraClade1,General,
GCA_033557905.1,PhytophthoraClade1,General,
GCA_000142945.1,PhytophthoraClade1,General,
GCA_016865055.1,PhytophthoraClade1,General,
GCA_000509485.1,PhytophthoraClade1,General,
SRR6384787,MagnaportheOryzae,Subspecies,
SRR6384807,MagnaportheOryzae,Subspecies,
GCA_003017045.1,MagnaportheOryzae,Subspecies,
SRR6384770,MagnaportheOryzae,Subspecies,
