Accession_ID,Dataset,DatasetLevel,BioSample
GCA_002220035.1,Cryptococcus,Complex,
GCA_000836375.1,Cryptococcus,Complex,
GCA_024343405.1,Cryptococcus,Complex,
GCA_002215885.1,Cryptococcus,Complex,
GCA_000091045.1,Cryptococcus,Complex,
GCA_006352305.1,Cryptococcus,Complex,
GCA_002222255.1,Cryptococcus,Complex,
GCA_001720205.1,Cryptococcus,Complex,
GCA_001720155.1,Cryptococcus,Complex,
GCA_030708415.1,Cryptococcus,Complex,
GCA_002222465.1,Cryptococcus,Complex,
GCA_002222325.1,Cryptococcus,Complex,
GCA_023630295.1,Rhizopus,Complex,
GCA_011763995.1,Rhizopus,Complex,
GCA_000697155.1,Rhizopus,Complex,
GCA_016758985.1,Rhizopus,Complex,
GCA_000697095.1,Rhizopus,Complex,
GCA_025504515.1,Rhizopus,Complex,
GCA_025504485.1,Rhizopus,Complex,
GCA_943193625.1,Rhizopus,Complex,
GCA_011764055.1,Rhizopus,Complex,
GCA_002083745.1,Rhizopus,Complex,
GCA_011763715.1,Rhizopus,Complex,
GCA_006680115.1,Rhizopus,Complex,
GCA_019022815.1,Rhizopus,Complex,
GCA_011801675.2,Rhizopus,Complex,
GCA_011763855.1,Rhizopus,Complex,
GCA_011952045.2,Rhizopus,Complex,
GCA_000697725.1,Rhizopus,Complex,
GCA_011763935.1,Rhizopus,Complex,
GCA_037974945.1,Rhizopus,Complex,
GCA_035048745.1,Rhizopus,Complex,
GCA_011764225.1,Rhizopus,Complex,
GCA_011801055.2,Rhizopus,Complex,
GCA_000697195.1,Rhizopus,Complex,
GCA_011952175.2,Rhizopus,Complex,
GCA_011763565.1,Rhizopus,Complex,
GCA_000697035.1,Rhizopus,Complex,
GCA_011801815.2,Rhizopus,Complex,
GCA_000738605.1,Rhizopus,Complex,
GCA_011764265.1,Rhizopus,Complex,
GCA_040206765.1,Rhizopus,Complex,
GCA_000738585.1,Rhizopus,Complex,
GCA_001599575.1,Rhizopus,Complex,
SRR9720180_assembly,Rhizopus,Complex,
GCA_011764125.1,Rhizopus,Complex,
GCA_011763975.1,Rhizopus,Complex,
GCA_011801495.1,Rhizopus,Complex,
GCA_011950985.2,Rhizopus,Complex,
GCA_025094135.1,Rhizopus,Complex,
GCA_000697135.1,Rhizopus,Complex,
GCA_011801305.2,Rhizopus,Complex,
GCA_011801705.2,Rhizopus,Complex,
GCA_000587855.1,Rhizopus,Complex,
GCA_011800955.2,Rhizopus,Complex,
GCA_011763695.1,Rhizopus,Complex,
GCA_011764185.1,Rhizopus,Complex,
GCA_011763815.1,Rhizopus,Complex,
GCA_011764045.1,Rhizopus,Complex,
GCA_011763755.1,Rhizopus,Complex,
GCA_034509365.1,Rhizopus,Complex,
GCA_011801575.2,Rhizopus,Complex,
GCA_011763585.1,Rhizopus,Complex,
GCA_011801555.2,Rhizopus,Complex,
GCA_011763775.1,Rhizopus,Complex,
GCA_011801785.2,Rhizopus,Complex,
GCA_011801385.2,Rhizopus,Complex,
GCA_000697295.1,Rhizopus,Complex,
GCA_011763835.1,Rhizopus,Complex,
GCA_023630335.1,Rhizopus,Complex,
GCA_011801505.2,Rhizopus,Complex,
GCA_040367835.1,Rhizopus,Complex,
GCA_027405735.1,Rhizopus,Complex,
GCA_000696915.1,Rhizopus,Complex,
GCA_011801645.2,Rhizopus,Complex,
GCA_011952115.2,Rhizopus,Complex,
GCA_019022795.1,Rhizopus,Complex,
GCA_000738595.1,Rhizopus,Complex,
GCA_000697075.1,Rhizopus,Complex,
GCA_024220505.1,Rhizopus,Complex,
SRR9650569_assembly,Rhizopus,Complex,
GCA_011762635.1,Rhizopus,Complex,
GCA_011801725.2,Rhizopus,Complex,
GCA_011951295.2,Rhizopus,Complex,
SRR9720181_assembly,Rhizopus,Complex,
GCA_011800985.2,Rhizopus,Complex,
GCA_011763895.1,Rhizopus,Complex,
GCA_011952145.2,Rhizopus,Complex,
GCA_011763955.1,Rhizopus,Complex,
GCA_016758945.1,Rhizopus,Complex,
GCA_011801035.2,Rhizopus,Complex,
GCA_000950595.1,Rhizopus,Complex,
GCA_040256725.1,Rhizopus,Complex,
GCA_011763605.1,Rhizopus,Complex,
GCA_011763795.1,Rhizopus,Complex,
GCA_037040325.1,Rhizopus,Complex,
GCA_023630555.1,Rhizopus,Complex,
GCA_000697115.1,Rhizopus,Complex,
GCA_011951285.2,Rhizopus,Complex,
GCA_011762625.1,Rhizopus,Complex,
GCA_011801335.2,Rhizopus,Complex,
GCA_011764145.1,Rhizopus,Complex,
GCA_039881115.1,Rhizopus,Complex,
GCA_011763915.1,Rhizopus,Complex,
GCA_011763475.1,Rhizopus,Complex,
GCA_011763875.1,Rhizopus,Complex,
GCA_011950945.2,Rhizopus,Complex,
GCA_023629815.1,Rhizopus,Complex,
GCA_011764025.1,Rhizopus,Complex,
SRR9720312_assembly,Rhizopus,Complex,
GCA_002083735.1,Rhizopus,Complex,
GCA_019828915.1,Rhizopus,Complex,
GCA_000697605.1,Rhizopus,Complex,
GCA_011763735.1,Rhizopus,Complex,
GCA_023629755.1,Rhizopus,Complex,
GCA_000149305.1,Rhizopus,Complex,
GCA_002708625.1,Rhizopus,Complex,
SRR9720653_assembly,Rhizopus,Complex,
GCA_011801605.2,Rhizopus,Complex,
60,BoletusEdulis,Complex,SAMN21445538
240,BoletusEdulis,Complex,SAMN21445523
242,BoletusEdulis,Complex,SAMN21445524
244,BoletusEdulis,Complex,SAMN21445525
1958-08-08 00:00:00,BoletusEdulis,Complex,SAMN38089206
20100000000,BoletusEdulis,Complex,SAMN21445522
15-08-09,BoletusEdulis,Complex,SAMN38089208
15-08-10,BoletusEdulis,Complex,SAMN38089209
15-08-11,BoletusEdulis,Complex,SAMN38089210
15-08-12,BoletusEdulis,Complex,SAMN38089211
552NVP,BoletusEdulis,Complex,SAMN38089212
554NVP,BoletusEdulis,Complex,SAMN38089213
A-11317,BoletusEdulis,Complex,SAMN38089214
A-11354,BoletusEdulis,Complex,SAMN38089215
A-11451,BoletusEdulis,Complex,SAMN38089216
A19a-203,BoletusEdulis,Complex,SAMN21445541
A19a-227,BoletusEdulis,Complex,SAMN21445542
A-7993,BoletusEdulis,Complex,SAMN38089221
A-7994,BoletusEdulis,Complex,SAMN38089222
A-9122,BoletusEdulis,Complex,SAMN38089223
A-9126,BoletusEdulis,Complex,SAMN38089224
AL16,BoletusEdulis,Complex,SAMN21445543
Arora7188,BoletusEdulis,Complex,SAMN38089225
B140,BoletusEdulis,Complex,SAMN21445544
B51,BoletusEdulis,Complex,SAMN21445545
B53,BoletusEdulis,Complex,SAMN21445546
BD195,BoletusEdulis,Complex,SAMN21445547
BD300,BoletusEdulis,Complex,SAMN21445548
BD572,BoletusEdulis,Complex,SAMN21445549
BD591,BoletusEdulis,Complex,SAMN21445550
BD592,BoletusEdulis,Complex,SAMN21445551
BD593,BoletusEdulis,Complex,SAMN21445552
BD594,BoletusEdulis,Complex,SAMN21445553
BD595,BoletusEdulis,Complex,SAMN21445554
BD596,BoletusEdulis,Complex,SAMN21445555
BD597,BoletusEdulis,Complex,SAMN21445556
BD598,BoletusEdulis,Complex,SAMN21445557
BD599,BoletusEdulis,Complex,SAMN21445558
BD747,BoletusEdulis,Complex,SAMN21436121
BD942,BoletusEdulis,Complex,SAMN38089227
BD944,BoletusEdulis,Complex,SAMN38089228
BD945,BoletusEdulis,Complex,SAMN38089229
BD948,BoletusEdulis,Complex,SAMN38089230
BD949,BoletusEdulis,Complex,SAMN38089231
BD950,BoletusEdulis,Complex,SAMN38089232
BD-953,BoletusEdulis,Complex,SAMN38089233
BD954,BoletusEdulis,Complex,SAMN38089234
BD955,BoletusEdulis,Complex,SAMN38089235
BD958,BoletusEdulis,Complex,SAMN38089236
BD961,BoletusEdulis,Complex,SAMN38089238
BD962,BoletusEdulis,Complex,SAMN38089239
BD963,BoletusEdulis,Complex,SAMN38089240
BD1301,BoletusEdulis,Complex,SAMN46222821
Bi126,BoletusEdulis,Complex,SAMN21445559
Bi58,BoletusEdulis,Complex,SAMN21445560
Bi81,BoletusEdulis,Complex,SAMN21445561
C1411,BoletusEdulis,Complex,SAMN21445564
C153,BoletusEdulis,Complex,SAMN21445565
CBHV16-153,BoletusEdulis,Complex,SAMN21445566
CBHV17-101,BoletusEdulis,Complex,SAMN21445567
CEP53,BoletusEdulis,Complex,SAMN21445568
C-F-109468,BoletusEdulis,Complex,SAMN21445562
C-F-118985,BoletusEdulis,Complex,SAMN21445563
darkcap,BoletusEdulis,Complex,SAMN21445569
DBG-001332,BoletusEdulis,Complex,SAMN21445571
DBG-017417,BoletusEdulis,Complex,SAMN21445573
DBG-017870,BoletusEdulis,Complex,SAMN21445574
DBG-023282,BoletusEdulis,Complex,SAMN21445575
DBG-024649,BoletusEdulis,Complex,SAMN21445576
DBG-024695,BoletusEdulis,Complex,SAMN21445577
DBG-025235,BoletusEdulis,Complex,SAMN21445578
DBG-005044,BoletusEdulis,Complex,SAMN21445572
DJM1345,BoletusEdulis,Complex,SAMN38089241
DUKE-0193972,BoletusEdulis,Complex,SAMN21445581
DUKE-0350792,BoletusEdulis,Complex,SAMN21445583
DUKE-0351102,BoletusEdulis,Complex,SAMN21445584
DUKE-0351166,BoletusEdulis,Complex,SAMN21445585
F-75196,BoletusEdulis,Complex,SAMN21445587
F-75615,BoletusEdulis,Complex,SAMN21445588
FA-09455,BoletusEdulis,Complex,SAMN38089244
FA-11071,BoletusEdulis,Complex,SAMN38089245
FA-13148,BoletusEdulis,Complex,SAMN38089246
FA-13860,BoletusEdulis,Complex,SAMN38089247
FA-13861,BoletusEdulis,Complex,SAMN38089248
FA-16929,BoletusEdulis,Complex,SAMN21445589
FA-18247,BoletusEdulis,Complex,SAMN21445590
FA-18312,BoletusEdulis,Complex,SAMN21445591
GAL19447b,BoletusEdulis,Complex,SAMN21445592
GAL3858,BoletusEdulis,Complex,SAMN21445593
GM14a-347,BoletusEdulis,Complex,SAMN21445594
GM15b-045,BoletusEdulis,Complex,SAMN21445596
GM4-039,BoletusEdulis,Complex,SAMN21445597
HL1,BoletusEdulis,Complex,SAMN21445598
HL2,BoletusEdulis,Complex,SAMN21445599
HL3,BoletusEdulis,Complex,SAMN21445600
JFA-13440,BoletusEdulis,Complex,SAMN38089249
JFA-13455,BoletusEdulis,Complex,SAMN38089250
JFA-13456,BoletusEdulis,Complex,SAMN38089251
JFA-13485,BoletusEdulis,Complex,SAMN38089252
JWR839,BoletusEdulis,Complex,SAMN21445603
KR43679,BoletusEdulis,Complex,SAMN38089253
KST1,BoletusEdulis,Complex,SAMN38089254
KST12,BoletusEdulis,Complex,SAMN38089255
KST13-1,BoletusEdulis,Complex,SAMN38089256
KST13-2,BoletusEdulis,Complex,SAMN38089257
KST14,BoletusEdulis,Complex,SAMN38089258
KST15,BoletusEdulis,Complex,SAMN46284497
KST15-1,BoletusEdulis,Complex,SAMN38089260
KST15-2,BoletusEdulis,Complex,SAMN38089261
KST15-3,BoletusEdulis,Complex,SAMN38089262
KST15-4,BoletusEdulis,Complex,SAMN38089263
KST16,BoletusEdulis,Complex,SAMN38089264
KST17,BoletusEdulis,Complex,SAMN38089265
KST18,BoletusEdulis,Complex,SAMN38089266
KST19,BoletusEdulis,Complex,SAMN38089267
KST22,BoletusEdulis,Complex,SAMN38089268
KST26,BoletusEdulis,Complex,SAMN38089271
KST28,BoletusEdulis,Complex,SAMN38089272
KST29,BoletusEdulis,Complex,SAMN38089273
KST30,BoletusEdulis,Complex,SAMN38089274
KST31,BoletusEdulis,Complex,SAMN38089275
KST32,BoletusEdulis,Complex,SAMN38089276
KST33,BoletusEdulis,Complex,SAMN38089277
KST34,BoletusEdulis,Complex,SAMN38089278
KST35,BoletusEdulis,Complex,SAMN38089279
KST36,BoletusEdulis,Complex,SAMN38089280
KST37,BoletusEdulis,Complex,SAMN38089281
KST39,BoletusEdulis,Complex,SAMN38089282
KST5,BoletusEdulis,Complex,SAMN38089283
KZOM-213,BoletusEdulis,Complex,SAMN38089285
KZOM-214,BoletusEdulis,Complex,SAMN38089286
lightcap,BoletusEdulis,Complex,SAMN21445606
MIN-794253,BoletusEdulis,Complex,SAMN21445607
MIN-794254,BoletusEdulis,Complex,SAMN38089287
MIN-905161,BoletusEdulis,Complex,SAMN38089290
MIN-905177,BoletusEdulis,Complex,SAMN21445609
MIN-905185,BoletusEdulis,Complex,SAMN38089291
MIN-905190,BoletusEdulis,Complex,SAMN21445610
MIN-905362,BoletusEdulis,Complex,SAMN21445611
MIN-905373,BoletusEdulis,Complex,SAMN21445612
MIN-921526,BoletusEdulis,Complex,SAMN38089292
MIN-921552,BoletusEdulis,Complex,SAMN21445613
MIN-921562,BoletusEdulis,Complex,SAMN21445614
MIN-921570,BoletusEdulis,Complex,SAMN21445615
MIN-921977,BoletusEdulis,Complex,SAMN38089293
MIN-921978,BoletusEdulis,Complex,SAMN38089294
MIN-921979,BoletusEdulis,Complex,SAMN21445616
MIN-921981,BoletusEdulis,Complex,SAMN21445617
MIN-921982,BoletusEdulis,Complex,SAMN38089295
MIN-921983,BoletusEdulis,Complex,SAMN38089296
MIN-921984,BoletusEdulis,Complex,SAMN38089297
MIN-921986,BoletusEdulis,Complex,SAMN38089298
MIN-921988,BoletusEdulis,Complex,SAMN21445619
MIN-921989,BoletusEdulis,Complex,SAMN47006298
MIN-923288,BoletusEdulis,Complex,SAMN21445620
MIN-929293,BoletusEdulis,Complex,SAMN21445621
MS1-015,BoletusEdulis,Complex,SAMN21445622
MS4-004,BoletusEdulis,Complex,SAMN21445623
MS9-005,BoletusEdulis,Complex,SAMN21445624
N1,BoletusEdulis,Complex,SAMN38089299
N2,BoletusEdulis,Complex,SAMN38089300
N5,BoletusEdulis,Complex,SAMN38089301
N8,BoletusEdulis,Complex,SAMN38089302
N9,BoletusEdulis,Complex,SAMN38089303
NYBG-02342749,BoletusEdulis,Complex,SAMN21445625
NYBG-03999897,BoletusEdulis,Complex,SAMN21445628
NYBG-36585,BoletusEdulis,Complex,SAMN21445629
PGA21-027,BoletusEdulis,Complex,SAMN38089304
R029174,BoletusEdulis,Complex,SAMN21445630
RL1,BoletusEdulis,Complex,SAMN21445631
RL2,BoletusEdulis,Complex,SAMN21445632
RL3,BoletusEdulis,Complex,SAMN21445633
RL5,BoletusEdulis,Complex,SAMN21445634
SFSU-001361,BoletusEdulis,Complex,SAMN38089305
SFSU-001397,BoletusEdulis,Complex,SAMN38089307
SFSU-001437,BoletusEdulis,Complex,SAMN38089308
SFSU-001438,BoletusEdulis,Complex,SAMN38089309
SFSU-001464,BoletusEdulis,Complex,SAMN38089310
SFSU-001470,BoletusEdulis,Complex,SAMN38089313
SFSU-001471,BoletusEdulis,Complex,SAMN38089314
SFSU-001474,BoletusEdulis,Complex,SAMN38089315
SFSU-001476,BoletusEdulis,Complex,SAMN38089316
SFSU-001481,BoletusEdulis,Complex,SAMN38089317
SFSU-001501,BoletusEdulis,Complex,SAMN38089320
SFSU-001504,BoletusEdulis,Complex,SAMN38089321
SFSU-001548,BoletusEdulis,Complex,SAMN38089322
SFSU-001554,BoletusEdulis,Complex,SAMN38089324
SFSU-001555,BoletusEdulis,Complex,SAMN38089325
SFSU-001588,BoletusEdulis,Complex,SAMN38089326
SFSU-001690,BoletusEdulis,Complex,SAMN38089329
SMB-20030-90602,BoletusEdulis,Complex,SAMN38089334
SMB-20151-02201,BoletusEdulis,Complex,SAMN38089335
SMB-20170-93012,BoletusEdulis,Complex,SAMN38089336
SV11-604,BoletusEdulis,Complex,SAMN21445637
TAAM-132367,BoletusEdulis,Complex,SAMN21445642
TAAM-132806,BoletusEdulis,Complex,SAMN38089338
TAAM-132808,BoletusEdulis,Complex,SAMN38089339
TAAM-132820,BoletusEdulis,Complex,SAMN38089340
TAAM-132823,BoletusEdulis,Complex,SAMN38089341
TAAM-175085,BoletusEdulis,Complex,SAMN21445645
TAAM-185627,BoletusEdulis,Complex,SAMN21445646
TR39322,BoletusEdulis,Complex,SAMN21445647
UBC-12520,BoletusEdulis,Complex,SAMN21445652
UBC-15479,BoletusEdulis,Complex,SAMN21445654
UBC-16706,BoletusEdulis,Complex,SAMN21445648
UBC-16737,BoletusEdulis,Complex,SAMN21445655
UBC-18518,BoletusEdulis,Complex,SAMN21445656
UBC-28267,BoletusEdulis,Complex,SAMN21445657
UBC-28296,BoletusEdulis,Complex,SAMN21445658
UBC-32159,BoletusEdulis,Complex,SAMN21445650
UBC-33027,BoletusEdulis,Complex,SAMN21445651
UT249,BoletusEdulis,Complex,SAMN21445526
UT250,BoletusEdulis,Complex,SAMN21445527
UT284,BoletusEdulis,Complex,SAMN21445528
UT285,BoletusEdulis,Complex,SAMN21445529
UT286,BoletusEdulis,Complex,SAMN21445530
UT354,BoletusEdulis,Complex,SAMN21445531
UT473,BoletusEdulis,Complex,SAMN21445532
UT477,BoletusEdulis,Complex,SAMN21445519
UT489,BoletusEdulis,Complex,SAMN21445533
UT555,BoletusEdulis,Complex,SAMN21445534
UT557,BoletusEdulis,Complex,SAMN21445535
UT567,BoletusEdulis,Complex,SAMN21445536
UT598,BoletusEdulis,Complex,SAMN21445537
UT600,BoletusEdulis,Complex,SAMN21445539
UT90,BoletusEdulis,Complex,SAMN21445540
VOL5,BoletusEdulis,Complex,SAMN21445659
WSU-54517,BoletusEdulis,Complex,SAMN21445661
WTU-21375,BoletusEdulis,Complex,SAMN38089346
WTU-24032,BoletusEdulis,Complex,SAMN21445662
WTU-24390,BoletusEdulis,Complex,SAMN38089348
WTU-24718,BoletusEdulis,Complex,SAMN38089349
WTU-24735,BoletusEdulis,Complex,SAMN38089350
WTU-27121,BoletusEdulis,Complex,SAMN21445663
WTU-27134,BoletusEdulis,Complex,SAMN38089351
WTU-30041,BoletusEdulis,Complex,SAMN21445664
WTU-32261,BoletusEdulis,Complex,SAMN21445665
WTU-65824,BoletusEdulis,Complex,SAMN38089353
WTU-66301,BoletusEdulis,Complex,SAMN38089354
WTU-67988,BoletusEdulis,Complex,SAMN38089356
WTU-68299,BoletusEdulis,Complex,SAMN38089357
WTU-68809,BoletusEdulis,Complex,SAMN21445666
WTU-71222,BoletusEdulis,Complex,SAMN21445667
WTU-5669,BoletusEdulis,Complex,SAMN47006214 
YSU-05349,BoletusEdulis,Complex,SAMN21445670
YSU-05404,BoletusEdulis,Complex,SAMN21445671
YSU-07119,BoletusEdulis,Complex,SAMN21445672
YSU-08902,BoletusEdulis,Complex,SAMN38089358
YSU-09148,BoletusEdulis,Complex,SAMN21445674
YSU-09856,BoletusEdulis,Complex,SAMN21445675
YSU-09901,BoletusEdulis,Complex,SAMN21445676
YSU-09911,BoletusEdulis,Complex,SAMN21445668
YSU-09929,BoletusEdulis,Complex,SAMN21445669
